Salesperson,CustomerName,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
YVETTE,DORIC INDUSTRIES LIMITED,,,,,,,,,,,,,,,,,,,,,"17,400.00000","41,516.40000",
YVETTE,EAST AFRICAN SEA FOOD,,,,,,,,,,,,,,,,,,,,"69,600.00000",,,
YVETTE,HAZINA LOGISTICS LTD,,,,,,,,,,,,,,,,,,,,"142,680.00000",,,
YVETTE,JUANCO SPS LTD,,,,,,,,,,,,,,,,,,,,"85,260.00000",,,
YVETTE,MCDAVE HOLDING LIMIED,,,,,,,,,,,,,,,,,,,"110,385.60000","73,729.60000",,"526,964.80000","337,351.20000"
YVETTE,MINAHIL K LIMITED,,,,,,,,,,,,,,,,,,,"81,790.09200",,,,
YVETTE,TIMSALES LIMITED,,,,,,,,,,,,,,,,,,,,"68,782.20000",,,
YEMANE,734 WATER GENERAL TRADING,,,,,,,,,,,,,,,,"24,996.40000","227,388.96570",,,,,,
YEMANE,ABUBEKER HUSSIEN WORAKI/LIFE CARE PHARMACEUTICALS,,"2,512,162.80000",,,,"3,129,487.36000","-132,000.00000",,,,,"2,485,338.27300",,,,,"2,577,037.19509",,,,,,
YEMANE,ADVENT LIMITED,,,,,,,,,,,,,,,,,,,"804,040.93593",,"575,013.10204","1,371,821.91937",
YEMANE,ALMA AGRO GROUP,,,,,,,,,,,,,,,,,,"66,282.30720",,,,,
YEMANE,AQUA CRYSTAL COMPANY,,,,,,"329,600.00000",,,,"373,908.60000",,,"861,682.50000",,,"657,010.64000","-32,758.44000",,,,,,
YEMANE,AQUA PALM C. LTD,,,,,,,,,,,,,,,,,,,"567,313.99124",,,,
YEMANE,ASOOL TRADING AND INVESTMENT LIMITED,,,,,,,,,,,,,,,,"522,000.00000","994,204.52920",,,,,,
YEMANE,BEST BEVERAGE CO. LTD,,,,"1,695,751.89000",,,,,,,,"121,879.48419","15,750.00000","443,203.13390",,"523,793.44643",,,"212,704.12596",,,,
YEMANE,BETA HEALTHCARE INTERNATIONAL,,,,,,,,,,,,,,,,,,,"1,506,477.34920","698,745.87080","131,457.00000","814,148.78400",
YEMANE,BLESSED DAIRIES LTD,,,,,,,,,,,,,,,,,,,"1,537,022.20404",,"1,267,378.97000",,
YEMANE,CANAAN WATER COMPANY LTD,,"3,087,453.95280","1,626,096.83600","3,576,147.98800","1,858,420.83200","3,409,307.82720","2,753,210.91160","1,700,243.82736","2,577,236.82548","3,700,636.48219","4,384,932.06502","3,705,288.73007","3,997,705.09635","5,666,329.77348",,"4,193,980.08251","3,273,773.53040",,,,"2,120,143.24149",,"1,881,981.44800"
YEMANE,CITY LINK WATER FACTORY COMPANY LIMITED,,,,,,,,,,,,,,,,,,"437,168.62301",,,,,
YEMANE,DAERONA GREEN GENERAL TRADING CO.LTD,,,,,,,,,,,,,,,,,,,"319,675.20000",,"304,186.60357",,
YEMANE,ELIA FOOD OVERSEAS LTD,,,,,,,,,,,,,,,,,,,,,"52,780.00000",,"77,323.44230"
YEMANE,ELIM WATER COMPANY,,"1,137,603.60000","1,171,558.08000","431,060.00000",,,"1,788,573.43000",,,,"1,135,758.92160","2,182,155.46880","2,654,426.25000","3,785,346.63920",,"39,468.00000","30,169.34700","39,959.40000","32,899.90600",,,,
YEMANE,ELITE WATER FACTORY,,,,"374,718.40000",,"14,848.00000","79,242.00000","48,332.00000",,"1,047,937.02000",,,"181,944.00000",,,,0.00000,"33,408.00000","355,641.32396","41,621.71104",,,
YEMANE,EMPIRE PURIFIED WATERS,,,,,,,,,,"107,694.40000",,,,,"84,150.00000",,,,,,,,
YEMANE,FAHTANNAH FOODS LTD,,,,,,,,,,,,,,,,,,,"20,049.44000",,"7,540.00000","6,786.00000",
YEMANE,FATUMA AND HER FRIENDS COSMETICS MANUFACTURING,,,,,,,,,,,"22,837.50000","131,639.50000","202,877.76600",,,,"87,985.27088",,,"261,441.03440",,,
YEMANE,GOLDEN KEY TRADING LTD,,,,,,,,,,,,,,,,,"1,047,346.52880","553,417.71030","1,122,119.89110",,,,
YEMANE,GREEN FOOD LTD,,,,,,,,,,,,,,,,,,1.46518,,,"1,387,550.20560",,
YEMANE,HOME-MART MANUFACTURERS LTD,,,,,,,,,"8,143.20000",,,,,,,,,,,,,,
YEMANE,HRP PACKAGING,,,,,,,,,,,,,,,,,,,"1,009,893.91620",,,,
YEMANE,INCUTI FOODS LTD,,,,,,,,,,,,,,,,,,,,,,,"103,654.68360"
YEMANE,INGABO DAIRY LTD,,,,,,,,,,,,,,,,,,,"63,000.00000",,,,
YEMANE,INKS EXPERTS LTD,,,,,,,,"24,650.00000","31,749.20000",,,"38,947.00000",,,"39,440.00000","4,930.00000",,,,,"43,877.00000",468.35000,
YEMANE,ISHYO FOODS LIMITED,,,,,,,,,,,,,,,,,,,,,"286,375.70000","43,158.14997",
YEMANE,JIT BEVERAGE COMPANY,,"479,784.93000","458,430.01000",,"399,504.00000","403,531.87000",,,"569,780.53000","881,416.13000",,"400,097.27000","1,480,500.87000",,"809,374.98000",,"808,363.34000",,"810,563.41000",,,"473,572.00000",
YEMANE,KASESA DISTILLERS AND DISTRIBUTORS LIMITED RWANDA,,,,,,,,,,,,,,,,,,,,,,,"2,064,051.69893"
YEMANE,KAZIFRESH LIMITED,,,,,,,,,,,,,,,,,,,,,"213,915.98800",,
YEMANE,LUNZA FOODS LIMITED,,,,,,,,,,,,,,,,,,,"13,746.00000",,,,
YEMANE,MASAKA CREAMERY LIMITED,,,,,,"189,033.00000",,,,,,,,,,"277,500.00000",,,"14,560.00000","980,298.00000","284,648.00000","897,270.50000",
YEMANE,MOUNTAIN CLASSIC MB CO.LTD,,,,,,,,,"1,389,494.59440",,,"939,741.48063","700,159.90275",,"4,390,406.16584",,"-175,484.02800",,,"232,038.24189",,,
YEMANE,MUSE-AF CO.LTD,,,,,,,,"43,297.36200",,,,,,,,,,,,,,,
YEMANE,NEGEV TA TSION CO.LTD,,,,,,,,,,,"45,675.00000","939,254.64678",,"2,770,997.16818",,"552,263.48892","2,099,918.11561","233,368.50364","26,639.60000","220,990.79977",,,
YEMANE,NICE BEVERAGE & FOOD STUFF FAC,,"496,918.80000","490,326.48000","1,976,800.00000",,,,,,"955,698.82200",,,,,,,,,,,,,
YEMANE,NILE SUPREME COMPANY LTD,,,,,,,,,,,,,,,,"686,030.14480",,,,,,,
YEMANE,ORIGINAL BEST COMPANY LTD,,,,,,,,,,,"60,900.00000","544,062.64636",,,,"23,194.02800",,,,,,,
YEMANE,POWERLIFE KARDI EAST AFRICA,,,,,,,,,,,"69,600.00000","127,994.40000",,,,,,,,,,,
YEMANE,RAHMA PURIFIED WATER,,,,,,,,,,,,,,"100,465.28000","205,498.64000",,,"88,670.40000",,,,,"104,017.20000"
YEMANE,RAINBOW BUSINESS SOLUTIONS,,,,,,,"1,963,946.16225",,"58,416.00000",,"1,187,550.00000","10,392,032.88704","438,678.13500",,,"263,120.00000","9,519,113.86267",,"573,499.02172","729,019.80508","526,174.51024",,
YEMANE,ROSE BEVERAGE COMPANY LIMITED,,,,,,,,,,,,,,"2,136,767.85000",,,,,,,,,
YEMANE,ROYAL FAMILY GENERAL TRADING CO.LTD,,,,"6,300.28000",,,,,,,,,,,,,,,,,,,
YEMANE,ROYAL IDENTITY EA LIMITED,,,,,,,,,,,"29,640.00000","63,186.96000",,,,,,,,,,,
YEMANE,SOCIETE AMERICAN BEVERAGE SARL,,,,"661,500.00000",,,,,,,,,,,,,,,,,,,
YEMANE,STARLAND MINERAL WATER,,,,,,,,,,,,,,,,,,,,,,"41,520.00000","456,085.64000"
YEMANE,TOP WATER LIMITED,,,,,,,,,,,,,,,,,,,,"261,867.26800",,,
YEMANE,TWIN CITIES INDUSTRIALISTIC PLC,,,,,,,,,,,"688,407.96960",,,,,,,,,,,,
YEMANE,TZ FOOD & BEVERAGE INDUSTRIES LTD,,,,,,,,,,,,,"236,250.00000","549,614.93916","107,632.50000","716,051.07116","1,817,277.94876",,,,,,
YEMANE,UNIQUE HEALING APPROACH LTD,,,,,,,"57,408.40000",,,,,,,,,,,,,,,,
YEMANE,ZARA ENTERPRISES SRL,,,,,,,,,,,,,,,,,,"2,001,253.33070","2,293,823.90488","1,367,630.44470","1,869,822.86816","2,581,610.33650","135,595.56400"
YEMANE,ZERO FOUR DROPS,,,,,,,,,,,,,,"46,400.00000","299,300.88000",,,,,,,,
VINCENT,FARRAH COFFEE LIMITED,,,,,,,,,,,,,,,,,,,,,,"6,380.00000",
VINCENT,JANITORIAL SUPPLIES LIMITED,,,,,,,,,,,,,,,,,,,,,"129,664.80000",,
VINCENT,METRO PHARMACEUTICAL LTD,,,,,,,,,,,,,,,,,,,,"11,600.00000",,,
TONY,ACE CHEMICALS LTD,,"55,540.80000",,,"78,935.10000",,,,"59,925.60000",,,,"53,626.80000",,,,"49,329.00000",,,,,,
TONY,ACEE LIMITED,,,,,,,,,,"170,960.80000","231,536.00000","47,397.60000","861,160.80000","66,398.40000",0.00000,,,,,,,,"980,710.40000"
TONY,AQUAMIST LIMITED,,"1,766,767.00000","2,976,311.18000","362,423.44000","2,240,185.04000","2,206,616.96000","1,293,433.23400","912,017.75200","3,824,421.96260","1,495,167.20540","716,207.77374","2,326,450.07560","1,231,578.01766","1,387,672.05856","977,192.52112","1,574,138.55420","1,517,254.67140","1,344,258.86600","1,717,840.35760","1,095,822.85117","1,322,375.07044","1,285,303.08400","1,301,629.38800"
TONY,ASHUT PLASTICS LIMITED,,,"102,080.00000",,"385,165.20000",,,,"117,392.00000",,"293,480.00000","103,419.80000",,,"129,960.60000",,,,,,,,
TONY,B.BRAUN PHARMACEUTICALS EPZ LIMITED,,,,,,,,,,,,,"2,031,290.00000",0.00000,,,"1,638,121.95000",,"-2,400.00000",,,,
TONY,BIDCO AFRICA LIMITED DR,,"445,234.68000","1,168,942.08960","1,049,093.56000","1,375,941.88400","555,642.30376","727,679.60000","921,220.72800","1,846,733.42400","979,027.48000","863,457.83200","804,858.69200","257,230.00000","2,003,528.56800","1,271,007.36000","99,017.60000","1,304,113.76000","571,371.17760","605,811.34490","999,261.42160","2,681,083.22240","950,691.92000","1,488,888.79120"
TONY,BLOWPLAST LIMITED,,"529,192.58000","847,905.71200","246,040.87200","857,573.73200","262,995.20000","699,118.66000","432,580.00800","950,161.56800","489,887.38128","74,024.70400","508,729.60000","1,036,211.76000","647,277.79600","1,537,423.80600","1,343,917.31560","968,187.73600","925,535.69600","894,150.91000","858,075.54800","1,610,624.85200","2,639,912.86200","627,097.50800"
TONY,BOBMIL INDUSTRIES LTD DR,,"132,561.32000","592,115.04000","144,600.96000","93,310.40000","161,781.72000","117,579.92000","264,377.92000","76,270.00000","278,342.00000","168,606.00000","111,963.20000","217,894.40000","103,620.48000","-2,784.00000","510,400.00000","320,160.00000","87,000.00000","15,144.96000","261,928.00000","562,397.00000","316,112.76000","251,430.00000"
TONY,CANON CHEMICALS LTD,"124,833.40000","63,498.40000","178,854.60000","339,781.40000","240,711.36800","161,593.80000","196,388.00000","128,435.20000","241,338.00000","93,960.00000",,,,"59,160.00000","122,496.00000","226,896.00000",,"224,640.96000","95,062.00000","135,970.56000","267,936.80000","386,713.84000","122,941.44000"
TONY,CAPWELL INDUSTRIES LIMITED,,,,,,,,,"220,082.85600","169,670.53200",,,,"116,580.00000","7,980.80000","216,804.00000","16,356.00000","358,962.00000","78,786.50400","12,876.00000","132,092.33200","445,815.84000",
TONY,CHITAS CHILLI,,,,,,,,,,,,"19,720.00000",,,,,,,,,,,
TONY,CNDY CREATIONS K LIMITED,,,,,,,,"56,700.80000",,,,,,"55,174.24000","99,296.00000",,,"67,280.00000","26,448.00000","34,790.13536","46,801.94000","70,760.00000",
TONY,DARFORDS INDUSTRIES LIMITED,,,"102,532.98000",,,,,,,,,,,,,,"65,598.00000","80,736.00000",,"149,671.32000","269,356.64000","305,198.32000",
TONY,DAVIKEN LIMITED,,"35,004.16000",,,,,,,,,,,,,,,,,,,,,
TONY,DELIROSA LIMITED,,,,,,,,,,,"20,880.00000","153,700.00000",,"11,600.00000","222,140.00000","13,485.00000","41,905.00000","20,735.00000","279,866.24000",,"-229,696.24000",,
